Start	Stop	Strand	Evidence_code	GeneName,GeneID,Contig
41608	46385	-	best	FAM110C,642273,NT_022221.13
194146	200893	-	mRNA  	LOC727818,727818,NT_022221.13
218155	256341	-	best	SH3YL1,26751,NT_022221.13
264869	278283	+	best	ACP1,52,NT_022221.13
279561	288308	-	best	FAM150B,285016,NT_022221.13
490940	492757	-	mRNA identical N	LOC727944,727944,NT_022221.13
667973	677439	-	best	TMEM18,129787,NT_022221.13
687886	688026	+	protein  	LOC100128185,100128185,NT_022221.13
902823	906011	-	best	LOC391343,391343,NT_022221.13
946555	1371385	+	best	SNTG2,54221,NT_022221.13
1417235	1546499	+	best	TPO,7173,NT_022221.13
1635659	1748291	-	best	PXDN,7837,NT_022221.13
1652690	1657738	+	mRNA identical N	LOC100288793,100288793,NT_022221.13
1792885	2335045	-	best	MYT1L,23040,NT_022221.13
2323004	2330880	+	best	LOC730811,730811,NT_022221.13
3135757	3149551	-	mRNA identical N	LOC729897,729897,NT_022221.13
3153392	3185045	+	protein identical N	LOC100132738,100132738,NT_022221.13
3192741	3381653	-	best	TSSC1,7260,NT_022221.13
3383446	3483342	+	best	TTC15,51112,NT_022221.13
3487251	3488865	+	mRNA identical N	LOC100288893,100288893,NT_022221.13
3501690	3523350	-	best	ADI1,55256,NT_022221.13
3592678	3605940	-	best	RNASEH1,246243,NT_022139.13
3622853	3628509	+	best	RPS7,6201,NT_022139.13
3642637	3692048	+	best	COLEC11,78989,NT_022139.13
3664712	3665449	-	best	TMSL2,7116,NT_022139.13
3705786	3750261	+	best	ALLC,55821,NT_022139.13
3735375	3736649	-	best	LOC100240713,100240713,NT_022139.13
3750316	3818443	+	mRNA identical N	LOC728597,728597,NT_022139.13
4561786	4562646	-	protein  	LOC442006,442006,NT_022139.13
5832799	5841517	+	best	SOX11,6664,NT_005334.16
6072819	6120350	+	best	LOC150622,150622,NT_005334.16
6122110	6128364	+	best	LOC400940,400940,NT_005334.16
6636009	6651631	-	protein  	LOC391349,391349,NT_005334.16
6872257	6910442	-	mRNA  	FLJ42418,400941,NT_005334.16
6988451	7005936	-	best	CMPK2,129607,NT_005334.16
7017796	7038363	+	best	RSAD2,91543,NT_005334.16
7057523	7184310	+	best	RNF144A,9781,NT_005334.16
7464879	7490157	-	protein  	LOC644232,644232,NT_005334.16
7850216	7877226	-	protein  	LOC100130731,100130731,NT_005334.16
8062556	8116945	-	best	LOC339788,339788,NT_005334.16
8743212	8743489	+	protein  	LOC100288145,100288145,NT_005334.16
8822113	8824583	+	best	ID2,3398,NT_005334.16
8868987	8977755	-	best	KIDINS220,57498,NT_005334.16
8897038	8897979	-	best	LOC100216337,100216337,NT_005334.16
8996701	9143876	-	best	MBOAT2,129642,NT_005334.16
9158417	9159028	-	protein  	LOC644651,644651,NT_005334.16
9221522	9221924	-	best	RPL30P3,100270977,NT_005334.16
9346894	9545812	+	best	ASAP2,8853,NT_005334.16
9545813	9563643	-	best	ITGB1BP1,9270,NT_005334.16
9563868	9613227	+	best	CPSF3,51692,NT_005334.16
9614670	9628591	+	best	IAH1,285148,NT_005334.16
9629392	9695917	-	best	ADAM17,6868,NT_005334.16
9695937	9697482	-	mRNA identical N	LOC100127913,100127913,NT_005334.16
9724106	9771106	-	best	YWHAQ,10971,NT_005334.16
9983571	10074545	+	best	TAF1B,9014,NT_005334.16
10091822	10142405	+	best	GRHL1,29841,NT_005334.16
10143627	10143914	-	protein  	UNQ5830,400943,NT_005334.16
10183682	10194963	+	best	KLF11,8462,NT_005334.16
10196926	10220538	-	best	CYS1,192668,NT_005334.16
10262735	10271546	+	best	RRM2,6241,NT_005334.16
10281509	10351856	+	best	C2orf48,348738,NT_005334.16
10443040	10567743	+	best	HPCAL1,3241,NT_005334.16
10580508	10588453	-	best	ODC1,4953,NT_005334.16
10710894	10830112	-	best	NOL10,79954,NT_005334.16
10861775	10925236	+	best	ATP6V1C2,245973,NT_005334.16
10923517	10952960	-	best	PDIA6,10130,NT_005334.16
11052063	11054351	+	best	KCNF1,3754,NT_005334.16
11242249	11243152	+	best	RPL6P4,645054,NT_005334.16
11273179	11286916	+	best	C2orf50,130813,NT_005334.16
11295540	11319000	+	best	PQLC3,130814,NT_005334.16
11321778	11484711	-	best	ROCK2,9475,NT_005334.16
11448151	11449245	+	mRNA  	LOC646050,646050,NT_005334.16
11491753	11512199	+	protein identical N	LOC650157,650157,NT_005334.16
11584501	11606297	-	best	E2F6,1876,NT_005334.16
11674242	11782912	+	best	GREB1,9687,NT_005334.16
11691827	11691898	+	best	TRNAG32P,100189458,NT_005334.16
11798304	11810329	-	best	NTSR2,23620,NT_005334.16
11886740	11967535	+	best	LPIN1,23175,NT_005334.16
12163621	12164575	+	mRNA  	LOC729992,729992,NT_005334.16
12166490	12166667	+	protein  	LOC100130010,100130010,NT_005334.16
12856559	12858261	-	mRNA identical N	LOC100288243,100288243,NT_005334.16
12856998	12882860	+	best	TRIB2,28951,NT_005334.16
14772856	14776447	+	best	FAM84A,151354,NT_005334.16
14775432	14780912	-	mRNA identical N	LOC100288316,100288316,NT_005334.16
15307032	15701454	-	best	NBAS,51594,NT_005334.16
15537559	15537906	-	best	RPS26P18,100271108,NT_005334.16
15731607	15782789	-	mRNA identical N	LOC100288342,100288342,NT_005334.16
15731770	15771225	+	best	DDX1,1653,NT_005334.16
16009934	16010404	+	best	RPLP1P5,130678,NT_005334.16
16080020	16081845	-	best	MYCNOS,10408,NT_005334.16
16080683	16087129	+	best	MYCN,4613,NT_005334.16
16733901	16805287	-	best	FAM49A,81553,NT_015926.15
17566577	17567684	+	protein  	LOC388925,388925,NT_015926.15
17691986	17699706	-	best	RAD51AP2,729475,NT_015926.15
17721807	17837706	+	best	VSNL1,7447,NT_015926.15
17845079	17935096	-	best	SMC6,79677,NT_015926.15
17935177	17966632	+	best	GEN1,348654,NT_015926.15
17997786	17998367	+	best	MSGN1,343930,NT_015926.15
18059945	18114225	+	best	KCNS3,3790,NT_015926.15
18735989	18741959	-	best	RDH14,57665,NT_015926.15
18744137	18770838	-	best	NT5C1B,93034,NT_015926.15
19551246	19558372	-	best	OSR1,130497,NT_015926.15
20025973	20026668	+	best	CISD1B,130500,NT_015926.15
20096514	20101747	-	best	TTC32,130502,NT_015926.15
20110024	20189884	-	best	WDR35,57539,NT_015926.15
20191813	20212455	-	best	MATN3,4148,NT_015926.15
20232411	20251789	-	best	LAPTM4A,9741,NT_015926.15
20355334	20355874	-	best	RPS16P2,402069,NT_015926.15
20400558	20425194	-	best	SDC1,6382,NT_015926.15
20426249	20426554	+	protein  	LOC100131373,100131373,NT_015926.15
20439503	20440807	-	protein  	LOC151457,151457,NT_015926.15
20448453	20527144	-	best	PUM2,23369,NT_015926.15
20550577	20596442	+	protein  	LOC100289450,100289450,NT_015926.15
20646835	20649201	+	best	RHOB,388,NT_015926.15
20647433	20649457	-	mRNA identical N	LOC100289378,100289378,NT_015926.15
20729156	20729860	-	best	LOC727919,727919,NT_015926.15
20806040	20806414	-	best	RPS25P3,100271101,NT_015926.15
20817564	20850864	-	best	HS1BP3,64342,NT_015926.15
20866424	20871250	+	best	GDF7,151449,NT_015926.15
20884818	21022827	-	best	C2orf43,60526,NT_015926.15
21224301	21266945	-	best	APOB,338,NT_022184.15
21346484	21366144	+	protein identical N	LOC100129278,100129278,NT_022184.15
21584930	21595426	-	protein  	LOC100287183,100287183,NT_022184.15
22410875	22413306	+	protein  	LOC100130841,100130841,NT_022184.15
23608557	23931483	+	mRNA identical N	KLHL29,114818,NT_022184.15
23621423	23621989	+	protein  	LOC100288602,100288602,NT_022184.15
23971534	24149934	-	best	ATAD2B,54454,NT_022184.15
24123563	24124019	+	best	RPS13P4,100271060,NT_022184.15
24163376	24223696	+	best	UBXN2A,165324,NT_022184.15
24232953	24247145	+	best	LOC388931,388931,NT_022184.15
24252206	24270296	-	best	C2orf44,80304,NT_022184.15
24272584	24286551	+	best	FKBP1B,2281,NT_022184.15
24290454	24299314	-	best	SF3B14,51639,NT_022184.15
24300305	24307728	-	best	TP53I3,9540,NT_022184.15
